name,kcal_per_100gr,fat_per_100gr,fiber_per_100gr,protein_per_100gr,carbs_per_100gr,user_id,rating,notes,tags,is_verified,image_url
"Archway Home Style Cookies, Oatmeal Raisin",406.48,12.08,2.7,5.17,69.27,,,,,TRUE,
"Archway Home Style Cookies, Old Fashioned Molasses",405.75,11.83,1.1,4.27,70.55,,,,,TRUE,
"Archway Home Style Cookies, Old Fashioned Windmill Cookies",467.55,17.55,1.8,5.17,72.23,,,,,TRUE,
"Archway Home Style Cookies, Pecan Ice Box",500.46,26.46,1.2,4.56,61.02,,,,,TRUE,
"Archway Home Style Cookies, Reduced Fat Ginger Snaps",423.86,11.14,1.1,4.67,76.23,,,,,TRUE,
"Archway Home Style Cookies, Soft Sugar Drop",397.15,13.87,0.8,4.82,63.26,,,,,TRUE,
"Archway Home Style Cookies, Strawberry Filled",400.42,13.26,2.2,4.35,65.92,,,,,TRUE,
"Archway Home Style Cookies, Sugar",410.8,12.8,1.5,4.88,69.02,,,,,TRUE,
"Archway Home Style Cookies, Sugar Free Chocolate Chip",486.87,22.71,1.1,4.51,66.11,,,,,TRUE,
"Archway Home Style Cookies, Sugar Free Rocky Road",465.8,20.52,2.8,5.87,64.41,,,,,TRUE,
"Archway Home Style Cookies,Fat Free Devil'S Fd Cookie",344.46,0.9,2.8,4.82,79.27,,,,,TRUE,
"Archway Home Style Cookies,Frosty Lemon",430.75,17.11,0.7,4.41,64.78,,,,,TRUE,
"Archway Home Style Cookies,Pnut Butter",488.44,24.28,2.8,9,58.48,,,,,TRUE,
"Archway Home Style Cookies,Raspberry Filled",400.42,13.26,2.2,4.35,65.92,,,,,TRUE,
"Archway Home Style Cookies,Ruth'S Oatmeal",431.28,15.88,2.6,5.94,66.15,,,,,TRUE,
"Archway Home Style Cookies,Sugar Free Oatmeal",479.24,20.92,1.9,5.54,67.2,,,,,TRUE,
Ascidians,19.7,0.5,0,3.8,0,,,,,TRUE,
"Babyfood,Cookie,Baby,Fruit",435.4,12.6,3.4,6.8,73.7,,,,,TRUE,
"Babyfood,Cookies",434.4,13.2,0.2,11.8,67.1,,,,,TRUE,
"Babyfood,Cookies,Arrowroot",443.9,14.3,0.2,7.6,71.2,,,,,TRUE,
"Babyfood,Dinner,Bf Lasagna,Todd",75.7,2.1,0,4.2,10,,,,,TRUE,
"Babyfood,Dinner,Bf Noodle",56.7,1.9,1.1,2.5,7.4,,,,,TRUE,
"Babyfood,Dinner,Bf Noodle,Str",62.82,2.26,1.3,2.44,8.18,,,,,TRUE,
"Babyfood,Dinner,Bf Stew,Todd",53.2,1.2,1.1,5.1,5.5,,,,,TRUE,
"Babyfood,Dinner,Chick Noodle",55.26,1.18,0.9,2.37,8.79,,,,,TRUE,
"Babyfood,Dinner,Chick Noodle,Str",65.62,2.06,2.1,2.69,9.08,,,,,TRUE,
"Babyfood,Dinner,Chick Soup,Str",50.5,1.7,1.1,1.6,7.2,,,,,TRUE,
"Babyfood,Dinner,Chick Stew,Todd",79.7,3.7,0.6,5.2,6.4,,,,,TRUE,
"Babyfood,Dinner,Chick&Noodle W/Veg,Todd",66.06,1.7,0.6,3.8,8.89,,,,,TRUE,
"Babyfood,Dinner,Pasta W/Veg",59.3,2.1,1.5,1.7,8.4,,,,,TRUE,
"Babyfood,Dinner,Spaghetti&Tomato&Meat",68.29,1.37,1.1,2.57,11.42,,,,,TRUE,
"Babyfood,Dinner,Spaghetti&Tomato&Meat,Todd",73.4,1,0,5.3,10.8,,,,,TRUE,
"Babyfood,Dinner,Veg&Dumplings&Bf",47.6,0.8,0,2.1,8,,,,,TRUE,
"Babyfood,Dinner,Veg&Dumplings&Bf,Str",46.9,0.9,0,2,7.7,,,,,TRUE,
"Babyfood,Dinner,Veg&Noodles&Turkey",51.1,1.5,1.1,1.8,7.6,,,,,TRUE,
"Babyfood,Dinner,Veg&Noodles&Turkey,Str",42.8,1.2,1.1,1.2,6.8,,,,,TRUE,
"Babyfood,Dinner,Veg,Noodles&Chick",63,2.2,1.1,1.7,9.1,,,,,TRUE,
"Babyfood,Dinner,Veg,Noodles&Chick,Str",62.1,2.5,1.1,2,7.9,,,,,TRUE,
Bacon & Bf Stks,517.4,44.2,0,29.1,0.8,,,,,TRUE,
"Banquet Chick Pot Pie,Frz '",192,10.84,1.7,5.59,18.02,,,,,TRUE,
Barley Flour Or,354.48,1.6,10.1,10.5,74.52,,,,,TRUE,
"Beans,Black Turtle Soup,Mature Seeds,Ckd,Bld,W/Salt",133.27,0.35,5.3,8.18,24.35,,,,,TRUE,
"Beans,Black Turtle Soup,Mature Seeds,Ckd,Bld,Wo/Salt",133.27,0.35,5.3,8.18,24.35,,,,,TRUE,
"Beans,Black Turtle Soup,Mature Seeds,Cnd",92.97,0.29,6.9,6.03,16.56,,,,,TRUE,
"Beans,Black Turtle Soup,Mature Seeds,Raw",346.1,0.9,24.9,21.25,63.25,,,,,TRUE,
"Beef Pot Pie,Frz ,Prep",219.71,11.39,0.8,7.25,22.05,,,,,TRUE,
"Beef Stew,Canned",95.26,5.38,1.5,4.94,6.77,,,,,TRUE,
Beerwurst Pork & Bf,275.85,22.53,0.9,14,4.27,,,,,TRUE,
"Betty Crocker,Hamburger Helper,Cheeseburger Macaroni,Dry Mix",394.8,10.4,0,11,64.3,,,,,TRUE,
Bologna Pork & Turkey Lite,210.58,16.06,0,13.06,3.45,,,,,TRUE,
Bologna Pork Turkey & Bf,336.13,29.25,0,11.56,6.66,,,,,TRUE,
"Bread, Whole-Wheat, Commer Prep, Toasted",306.35,4.07,9.2,16.27,51.16,,,,,TRUE,
"Bread,Egg,Toasted",311.8,6.6,2.5,10.5,52.6,,,,,TRUE,
"Bread,Oat Bran,Toasted",263.6,4.8,4.9,11.4,43.7,,,,,TRUE,
"Bread,Oatmeal,Toasted",290.8,4.8,4.3,9.2,52.7,,,,,TRUE,
"Bread,Rice Bran,Toasted",273,5,5.3,9.7,47.3,,,,,TRUE,
"Bread,Rye,Toasted",282.4,3.6,6.4,9.4,53.1,,,,,TRUE,
"Bread,Wheat Germ,Toasted",289.7,3.3,2.3,10.7,54.3,,,,,TRUE,
"Breakfast Bars,Oats,Sugar,Raisins,Cocnt",464.4,17.6,3.1,9.8,66.7,,,,,TRUE,
"Breakfast Burrito,Ham&Chs Flavor,Frz",214.2,7,1.4,9.7,28.1,,,,,TRUE,
"Burger King, Chicken Tenders",288.67,16.67,2.3,17.25,17.41,,,,,TRUE,
"Burger King, Chsbrgr",286.41,14.81,2.8,14.57,23.71,,,,,TRUE,
"Burger King, French Fries",330.92,17.4,2.9,3.5,40.08,,,,,TRUE,
"Burger King, Hamburger",274.69,12.17,2,14.18,27.11,,,,,TRUE,
"Burger King, Whopper",249.53,15.33,1,11.19,16.7,,,,,TRUE,
"Burger King, Whopper No Cheese",251.66,15.66,1.4,13.94,13.74,,,,,TRUE,
"Burger King, Whopper, No Cheese",232.72,12.84,1.8,10.74,18.55,,,,,TRUE,
"Burger King, Whoppper",265.5,17.06,1.6,14.47,13.52,,,,,TRUE,
"Burger King,Chick Whopper Sndwch",216.44,10.52,1.5,11.77,18.67,,,,,TRUE,
"Burger King,Croissan'Wich W/ Egg & Chs",282.58,15.78,0.7,10.35,24.79,,,,,TRUE,
"Burger King,Croissan'Wich W/ Sausage & Chs",375.97,25.45,0.7,13.73,23,,,,,TRUE,
"Burger King,Croissan'Wich W/ Sausage,Egg & Chs",322.16,22.48,0.7,12.31,17.65,,,,,TRUE,
"Burger King,French Toast Stks",348.5,17.74,1.4,6,41.21,,,,,TRUE,
"Burger King,Hash Brown Rounds",368.83,24.35,2.9,2.87,34.55,,,,,TRUE,
"Burger King,Original Chick Sndwch",286.28,15.4,2.4,12.57,24.35,,,,,TRUE,
"Burger King,Vanilla Shake",167.54,8.74,0,3.19,19.03,,,,,TRUE,
"Burrito, Bean",210.74,5.94,10.2,6.92,32.4,,,,,TRUE,
"Burrito,Bean & Chs,Microwaved",260.41,7.17,10.4,8.6,40.37,,,,,TRUE,
"Burrito,Bf & Bean,Frz",238.89,9.61,4.2,7.26,30.84,,,,,TRUE,
"Burrito,Bf & Bean,Microwaved",298.18,11.94,6.9,8.73,38.95,,,,,TRUE,
"Cake, Snack Cakes, Creme-Filled, Chocolate",399.13,15.93,3.2,3.63,60.31,,,,,TRUE,
"Cake,Angelfood,Commly Prep",262,0.8,1.5,5.9,57.8,,,,,TRUE,
"Cake,Angelfood,Dry Mix",379.6,0.4,0.3,8.9,85.1,,,,,TRUE,
"Cake,Angelfood,Dry Mix,Prep",261.9,0.3,0.2,6.1,58.7,,,,,TRUE,
"Cake,Betty Crocker,Supermoist Party Cake Swirl,Dry Mix",414,7.6,0,3.9,82.5,,,,,TRUE,
"Cake,Boston Crm Pie,Commly Prep",257.7,8.5,1.4,2.4,42.9,,,,,TRUE,
"Cake,Carrot,Dry Mix,Pudding-Type",425.4,9.8,0,5.1,79.2,,,,,TRUE,
"Cake,Cherry Fudge W/Choc Frstng",274.1,12.5,1.2,2.4,38,,,,,TRUE,
"Cake,Choc,Commly Prep W/Choc Frstng",382.4,16.4,2.8,4.1,54.6,,,,,TRUE,
"Cake,Choc,Dry Mix,Pudding-Type",416,9.2,3.5,4.6,78.7,,,,,TRUE,
"Cake,Choc,Dry Mix,Reg",456,15.6,2.4,5.9,73,,,,,TRUE,
"Cake,Choc,Prep From Recipe Wo/Frstng",370.7,15.1,1.6,5.3,53.4,,,,,TRUE,
"Cake,Fruitcake,Commly Prep",339.9,9.1,3.7,2.9,61.6,,,,,TRUE,
"Cake,German Choc,Dry Mix,Pudding-Type",421.9,9.5,3.5,4,80.1,,,,,TRUE,
"Cake,Gingerbread,Dry Mix",440.2,13.8,1.7,4.4,74.6,,,,,TRUE,
"Cake,Gingerbread,Prep From Recipe",360,16.4,0,3.9,49.2,,,,,TRUE,
"Cake,Marble,Dry Mix,Pudding-Type",436.1,11.7,2.9,3.4,79.3,,,,,TRUE,
"Cake,Pnappl Upside-Down,Prep From Recipe",324.9,12.1,0.8,3.5,50.5,,,,,TRUE,
"Cake,Pound,Commly Prep,Butter",396.3,19.9,0.5,5.5,48.8,,,,,TRUE,
"Cake,Pound,Commly Prep,Fat-Free",276.4,1.2,1.1,5.4,61,,,,,TRUE,
"Cake,Pound,Commly Prep,Other Than All Butter,Enr",391.9,17.9,1,5.2,52.5,,,,,TRUE,
"Cake,Pound,Commly Prep,Other Than All Butter,Unenr",391.9,17.9,1,5.2,52.5,,,,,TRUE,
"Cake,Shortcake,Biscuit-Type,Prep From Recipe",346.2,14.2,0,6.1,48.5,,,,,TRUE,
"Cake,Snack Cakes,Creme-Filled,Sponge",373.86,11.54,1,3.47,64.03,,,,,TRUE,
"Cake,Snack Cakes,Cupcakes,Choc,W/Frstng,Low-Fat",319.3,3.7,4.3,4.3,67.2,,,,,TRUE,
"Cake,Sponge,Commly Prep",290.3,2.7,0.5,5.4,61.1,,,,,TRUE,
"Cake,Sponge,Prep From Recipe",298.7,4.3,0,7.3,57.7,,,,,TRUE,
"Cake,White,Dry Mix,Pudding-Type,Enr",425.1,9.5,0.7,3.9,81,,,,,TRUE,
"Cake,White,Dry Mix,Pudding-Type,Unenr",425.1,9.5,0.7,3.9,81,,,,,TRUE,
"Cake,White,Dry Mix,Reg",428.1,10.9,0.9,4.5,78,,,,,TRUE,
"Cake,White,Dry Mix,Spl Dietary",406,8.4,0,3,79.6,,,,,TRUE,
"Cake,White,Prep From Recipe W/Cocnt Frstng",363.1,10.3,1,4.4,63.2,,,,,TRUE,
"Cake,White,Prep From Recipe Wo/Frstng",362,12.4,0.8,5.4,57.2,,,,,TRUE,
"Cake,Yel,Commly Prep,W/Choc Frstng",393.4,17.4,1.8,3.8,55.4,,,,,TRUE,
"Cake,Yel,Commly Prep,W/Vanilla Frstng",379.7,14.5,0.3,3.5,58.8,,,,,TRUE,
"Cake,Yel,Dry Mix,Pudding-Type",423.8,9.8,0.7,4,79.9,,,,,TRUE,
"Cake,Yel,Dry Mix,Reg,Enr",434.4,11.6,1.1,4.4,78.1,,,,,TRUE,
"Cake,Yel,Dry Mix,Reg,Unenr",434.4,11.6,1.1,4.4,78.1,,,,,TRUE,
"Cake,Yel,Prep From Recipe Wo/Frstng",364.6,14.6,0.7,5.3,53,,,,,TRUE,
"Cake,Yellow,Dry Mix,Light",404.7,5.5,1.3,4.7,84.1,,,,,TRUE,
"Campbel Company,Prego Pasta,Zesty Mushroom Italian Sau,Rts",85.77,2.69,2.3,1.54,13.85,,,,,TRUE,
"Campbel,Campbell'S Sel Gold Label Soups,Creamy",81.99,3.67,1.6,2.04,10.2,,,,,TRUE,
"Campbell ,Spaghettios Raviolios Bf Ravioli In Meat Sau",106.33,3.17,1.6,4.37,15.08,,,,,TRUE,
"Campbell ,Spaghettios,Spaghettio'S W/ Sliced Franks",92.85,3.97,2,3.57,10.71,,,,,TRUE,
"Campbell ,Spaghettios,Spaghettios Plus Ca",68.68,0.4,1.2,2.38,13.89,,,,,TRUE,
"Campbell ,Supper Bakes Kits,Cheesy Chick W/ Pasta",197.67,4.71,1.2,7.06,31.76,,,,,TRUE,
"Campbell Company,Campbell'S Red & White,Bf Noodle Soup,Cond",52.39,1.59,0.8,3.17,6.35,,,,,TRUE,
"Campbell Company,Campbell'S Red & White,Chick Veg Soup,Cond",64.23,0.79,1.6,2.38,11.9,,,,,TRUE,
"Campbell Company,Campbell'S Red&White,Cheddar Chs Soup,Cond",81.43,4.03,0.8,1.61,9.68,,,,,TRUE,
"Campbell Soup Co,Pace,Dry Taco Seas Mix",225.16,0,18.8,0,56.29,,,,,TRUE,
"Campbell Soup Co.,Campbell'S Brn Sugar&Bacon Flav Bkd Bns",125,1.92,6.2,3.85,23.08,,,,,TRUE,
"Campbell Soup Comp,Chnky Micro Bowl,Grld Chic W/Veg&Psta,Rts",43.46,1.02,1.2,2.86,5.71,,,,,TRUE,
"Campbell Soup Comp,Chnky Micro Bowl,Grlld Chic&Saus Gmbo,Rts",50.02,1.02,1.2,2.86,7.35,,,,,TRUE,
"Campbell Soup Comp,Prego Pasta,Traditional Italian Sau,Rts",66.95,2.31,2.3,1.54,10,,,,,TRUE,
"Campbell Soup Company,Campbell'S Au Jus Gravy",6.76,0,0,1.69,0,,,,,TRUE,
"Campbell Soup Company,Campbell'S Bf Gravy",42.29,1.69,0,1.69,5.08,,,,,TRUE,
"Campbell Soup Company,Campbell'S Brown Gravy W/ Onions",42.33,1.69,0,0,6.78,,,,,TRUE,
"Campbell Soup Company,Campbell'S Chick Gravy",66.04,5.08,0,0,5.08,,,,,TRUE,
"Campbell Soup Company,Campbell'S Country Style Crm Gravy",72.8,5.08,0,1.69,5.08,,,,,TRUE,
"Campbell Soup Company,Campbell'S Country Style Sausage Gravy",125.41,10.17,0,3.39,5.08,,,,,TRUE,
"Campbell Soup Company,Campbell'S Fat Free Bf Gravy",27.08,0,0,1.69,5.08,,,,,TRUE,
"Campbell Soup Company,Campbell'S Fat Free Chick Gravy",27.08,0,0,1.69,5.08,,,,,TRUE,
"Campbell Soup Company,Campbell'S Fat Free Turkey Gravy",33.36,0,0,1.67,6.67,,,,,TRUE,
"Campbell Soup Company,Campbell'S Golden Pork Gravy",72.8,5.08,0,1.69,5.08,,,,,TRUE,
"Campbell Soup Company,Campbell'S Microwavable Bf Gravy",42.29,1.69,0,1.69,5.08,,,,,TRUE,
"Campbell Soup Company,Campbell'S Microwavable Chick Gravy",65,5,0,0,5,,,,,TRUE,
"Campbell Soup Company,Campbell'S Microwavable Turkey Gravy",41.71,1.67,0,1.67,5,,,,,TRUE,
"Campbell Soup Company,Campbell'S Mushroom Gravy",35.53,1.69,0,0,5.08,,,,,TRUE,
"Campbell Soup Company,Campbell'S Pork & Bns",105.75,1.15,5.4,4.62,19.23,,,,,TRUE,
"Campbell Soup Company,Campbell'S Red & White,Bf Broth,Cond",12.92,0,0,2.42,0.81,,,,,TRUE,
"Campbell Soup Company,Campbell'S Red & White,Tomato Sop,Cond",70.96,0,0.8,1.61,16.13,,,,,TRUE,
"Campbell Soup Company,Campbell'S Red & White,Veg Bf Sop,Cond",70.59,0.79,2.4,3.97,11.9,,,,,TRUE,
"Campbell Soup Company,Campbell'S Red & White,Veg Soup,Cond",79.76,0.4,2.4,3.17,15.87,,,,,TRUE,
"Campbell Soup Company,Campbell'S Red & Wht,Scotch Brth,Cond",53.21,1.61,1.6,2.42,7.26,,,,,TRUE,
"Campbell Soup Company,Campbell'S Red&White,Chick Broth,Cond",13.77,0.81,0,0.81,0.81,,,,,TRUE,
"Campbell Soup Company,Campbell'S Sel Soup,Minestrone Soup",42.6,0.2,1.2,2.04,8.16,,,,,TRUE,
"Campbell Soup Company,Campbell'S Sel Soup,Tomato Garden Soup",40.96,0.2,0.8,1.22,8.57,,,,,TRUE,
"Campbell Soup Company,Campbell'S Sel Soup,Veg Medley Soup",40.96,0.2,1.2,1.22,8.57,,,,,TRUE,
"Campbell Soup Company,Campbell'S Soup At Hand,Veg Bf Soup",20.01,0.33,0.3,0.98,3.28,,,,,TRUE,
"Campbell Soup Company,Campbell'S Turkey Gravy",42.29,1.69,0,1.69,5.08,,,,,TRUE,
"Campbell Soup Company,Campbells Red & White,Bf Consomme,Cond",16.16,0,0,3.23,0.81,,,,,TRUE,
"Campbell Soup Company,Chnky Micro Bowl,New Engl Clm Chow,Rts",83.3,4.9,1.2,2.45,7.35,,,,,TRUE,
"Campbell Soup Company,Chnky Micro Bowls,Bf W/ Contry Veg,Rts",61.58,1.22,2,4.08,8.57,,,,,TRUE,
"Campbell Soup Company,Chnky Micro Bowls,Clssc Chic Noodl,Rts",43.3,0.82,0.8,3.27,5.71,,,,,TRUE,
"Campbell Soup Company,Chunky Micro Bowls,Old Fash Veg Bf,Rts",41.41,0.61,1.2,3.67,5.31,,,,,TRUE,
"Campbell Soup Company,Franco-American Slow Rst Bf Gravy",34.73,0.85,0,1.69,5.08,,,,,TRUE,
"Campbell Soup Company,Franco-American Slow Rst Chick Gravy",34.73,0.85,0,1.69,5.08,,,,,TRUE,
"Campbell Soup Company,Franco-American Slow Rst Turkey Gravy",41.53,0.85,0,1.69,6.78,,,,,TRUE,
"Campbell Soup Company,Franco-Americn Fat Fr Slw Rst Bf Gravy",27.08,0,0,1.69,5.08,,,,,TRUE,
"Campbell Soup Company,Healthy Request Tomato Juc",19.76,0,0.8,0.82,4.12,,,,,TRUE,
"Campbell Soup Company,Healthy Request,Chick Noodle Soup,Cond",49.23,1.59,0.8,2.38,6.35,,,,,TRUE,
"Campbell Soup Company,Healthy Request,Chick W/ Rice,Cond",45.83,1.19,0.8,1.59,7.19,,,,,TRUE,
"Campbell Soup Company,Healthy Request,Crm Of Celery,Cond",56.45,1.61,0.8,0.81,9.68,,,,,TRUE,
"Campbell Soup Company,Healthy Request,Crm Of Chick Soup,Cond",63.34,2.02,0.8,1.61,9.68,,,,,TRUE,
"Campbell Soup Company,Healthy Request,Crm Of Mushroom ,Cond",53.17,1.61,0.8,1.61,8.06,,,,,TRUE,
"Campbell Soup Company,Healthy Request,Minestrone Soup,Cond",63.78,0.42,2.5,2.5,12.5,,,,,TRUE,
"Campbell Soup Company,Healthy Request,Tomato Soup,Cond",72.17,1.21,0.8,1.61,13.71,,,,,TRUE,
"Campbell Soup Company,Healthy Request,Veg Soup,Cond",80.11,0.79,2.4,3.17,15.08,,,,,TRUE,
"Campbell Soup Company,Hlthy Rqust Style Wedding Sp",45.1,1.02,0.8,2.86,6.12,,,,,TRUE,
"Campbell Soup Company,Organic Tomato Juc",19.76,0,0.8,0.82,4.12,,,,,TRUE,
"Campbell Soup Company,Pace, Pepper Salsa",50.04,0,3.1,3.13,9.38,,,,,TRUE,
"Campbell Soup Company,Pace,Chipotle Chunky Salsa",25,0,3.1,0,6.25,,,,,TRUE,
"Campbell Soup Company,Pace,Cilantro Chunky Salsa",25,0,3.1,0,6.25,,,,,TRUE,
"Campbell Soup Company,Pace,Diced Grn Chilies",26.68,0,3.3,0,6.67,,,,,TRUE,
"Campbell Soup Company,Pace,Enchilada Sau",40,0,1.7,1.67,8.33,,,,,TRUE,
"Campbell Soup Company,Pace,Grn Taco Sau",25,0,0,0,6.25,,,,,TRUE,
"Campbell Soup Company,Pace,Jalapenos Nacho Sliced Peppers",13.32,0,3.3,0,3.33,,,,,TRUE,
"Campbell Soup Company,Pace,Lime & Garlic Chunky Salsa",37.52,0,3.1,0,9.38,,,,,TRUE,
"Campbell Soup Company,Pace,Organic Picante Sau",25,0,3.1,0,6.25,,,,,TRUE,
"Campbell Soup Company,Pace,Picante Sau",25,0,3.1,0,6.25,,,,,TRUE,
"Campbell Soup Company,Pace,Pico De Gallo",37.52,0,0,0,9.38,,,,,TRUE,
"Campbell Soup Company,Pace,Red Taco Sau",50,0,0,0,12.5,,,,,TRUE,
"Campbell Soup Company,Pace,Salsa Refried Bns",60,0,3.3,3.33,11.67,,,,,TRUE,
"Campbell Soup Company,Pace,Salsa Verde",39.04,1.56,0,0,6.25,,,,,TRUE,
"Campbell Soup Company,Pace,Spicy Jalapeno Refried Bns",63.36,0,4.2,4.17,11.67,,,,,TRUE,
"Campbell Soup Company,Pace,Tequila Lime Salsa",37.52,0,0,0,9.38,,,,,TRUE,
"Campbell Soup Company,Pace,Thick & Chunky Salsa",25,0,3.1,0,6.25,,,,,TRUE,
"Campbell Soup Company,Pace,Traditional Refried Bns",60,0,4.2,4.17,10.83,,,,,TRUE,
"Campbell Soup Company,Prego Pasta,Flav W/ Meat Ital Sau,Rts",99.29,3.85,2.3,1.54,14.62,,,,,TRUE,
"Campbell Soup Company,Prego Pasta,Frsh Mushroom Ital Sau,Rts",85.77,2.69,2.3,1.54,13.85,,,,,TRUE,
"Campbell Soup Company,Red&White,25% Less Na Chic Noodl,Cond",49.23,1.59,0.8,2.38,6.35,,,,,TRUE,
"Campbell Soup Company,Red&White,25% Less Na Crm Of Mshr,Cond",90.33,6.45,1.6,0.81,7.26,,,,,TRUE,
"Campbell Soup Company,Red&White,25% Less Na Tomato Soup,Cond",70.96,0,0.8,1.61,16.13,,,,,TRUE,
"Campbell Soup Company,Red&White,98% Fat Fr Brccli Chs,Cond",58.31,1.19,0.8,2.38,9.52,,,,,TRUE,
"Campbell Soup Company,Spaghettios,Spaghettio'S W/ Meatballs",96.81,3.17,1.6,4.37,12.7,,,,,TRUE,
"Campbell Soup Company,Spaghettios,Spaghettios A To Z'S",70.28,0.4,1.2,2.38,14.29,,,,,TRUE,
"Campbell Soup Company,Spaghettios,Spaghettios In Meat Sau",68.99,0.79,1.2,3.17,12.3,,,,,TRUE,
"Campbell Soup Company,Spaghettios,Spaghettios Original",68.24,0,1.2,2.38,14.68,,,,,TRUE,
"Campbell Soup Company,Swanson Broth,Cert Organic Veg Broth",5.12,0,0,0,1.28,,,,,TRUE,
"Campbell Soup Company,Swanson Broth,Veg Broth",5.12,0,0,0,1.28,,,,,TRUE,
"Campbell Soup Company,Swanson,Chick & Dumplings",93.13,4.05,0.8,4.45,9.72,,,,,TRUE,
"Campbell Soup Company,Swanson,Chick A La King",71.19,4.03,0.7,4.7,4.03,,,,,TRUE,
"Campbell Soup Company,Tomato Juc",19.76,0,0.8,0.82,4.12,,,,,TRUE,
"Campbell Soup Company,Tomato Juc,Lo Na",19.76,0,0.8,0.82,4.12,,,,,TRUE,
"Campbell Soup Company,V8 Splash Juc Drinks,Berry Blend",29.64,0,0,0,7.41,,,,,TRUE,
"Campbell Soup Company,V8 Splash Juc Drinks,Diet Berry Blend",4.92,0,0,0,1.23,,,,,TRUE,
"Campbell Soup Company,V8 Splash Juc Drinks,Diet Fruit Medley",5.04,0,0,0,1.26,,,,,TRUE,
"Campbell Soup Company,V8 Splash Juc Drinks,Fruit Medley",31.28,0,0,0,7.82,,,,,TRUE,
"Campbell Soup Company,V8 Splash Juc Drinks,Mango Peach",32.92,0,0,0,8.23,,,,,TRUE,
"Campbell Soup Company,V8 Splash Juc Drinks,Orange Pnappl",29.64,0,0,0,7.41,,,,,TRUE,
"Campbell Soup Company,V8 Splash Juc Drinks,Orchard Blend",31.28,0,0,0,7.82,,,,,TRUE,
"Campbell Soup Company,V8 Splash Juc Drinks,Strawberry Banana",29.64,0,0,0,7.41,,,,,TRUE,
"Campbell Soup Company,V8 Splash Juc Drinks,Strawberry Kiwi",29.64,0,0,0,7.41,,,,,TRUE,
"Campbell Soup Company,V8 Splash Juc Drinks,Tropical Blend",29.64,0,0,0,7.41,,,,,TRUE,
"Campbell Soup Company,V8 Splash Juc,Guava Passion Fruit",31.28,0,0,0,7.82,,,,,TRUE,
"Campbell Soup Company,V8 Splash Smoothies,Peach Mango",35.92,0,0,1.22,7.76,,,,,TRUE,
"Campbell Soup Company,V8 Splash Smoothies,Strawberry Banana",37.52,0,0,1.22,8.16,,,,,TRUE,
"Campbell Soup Company,V8 Splash Smoothies,Tropical Colada",39.04,0,0.4,1.22,8.54,,,,,TRUE,
"Campbell Soup Company,V8 Splash,Diet Strawberry Kiwi",5.04,0,0,0,1.26,,,,,TRUE,
"Campbell Soup Company,V8 Splash,Diet Tropical Blend",5.04,0,0,0,1.26,,,,,TRUE,
"Campbell Soup Company,V8 V. Fusion Juices,Acai Berry",43.92,0,0,0,10.98,,,,,TRUE,
"Campbell Soup Company,V8 V. Fusion Juices,Peach Mango",47.16,0,0,0.41,11.38,,,,,TRUE,
