name,kcal_per_100gr,fat_per_100gr,fiber_per_100gr,protein_per_100gr,carbs_per_100gr,user_id,notes,tags,is_verified,image_url
"Asparagus, Frz",31.39,0.23,1.9,3.23,4.1,,,,TRUE,
"Avocados, All Comm Var",174.06,14.66,6.7,2,8.53,,,,TRUE,
"Avocados, California",181.09,15.41,6.8,1.96,8.64,,,,TRUE,
"Avocados, Florida",130.74,10.06,5.6,2.23,7.82,,,,TRUE,
"Babyfood, Appl Yogurt Dssrt",95.6,1.6,0.5,0.8,19.5,,,,TRUE,
"Babyfood, Apple-Banana Juc",50.9,0.1,0.2,0.2,12.3,,,,TRUE,
"Babyfood, Apple-Cranberry Juc",46.14,0.02,0,0,11.49,,,,TRUE,
"Babyfood, Appls",50.1,0.1,0.9,0.2,12.1,,,,TRUE,
"Babyfood, Appls W/Ham",62.1,0.9,1.8,2.6,10.9,,,,TRUE,
"Babyfood, Banana Appl Dssrt",68.2,0.2,1,0.3,16.3,,,,TRUE,
"Babyfood, Banana Juc W/Lofat Yogurt",87.36,0.8,0.4,2.5,17.54,,,,TRUE,
"Babyfood, Banana No Tapioca",91.16,0.2,1.6,1,21.34,,,,TRUE,
"Babyfood, Bkd Product",421.42,9.9,2.3,6.4,76.68,,,,TRUE,
"Babyfood, Carrots",26.02,0.3,2.3,0.6,5.23,,,,TRUE,
"Babyfood, Carrots&Bf",58.9,2.5,2.6,3.4,5.7,,,,TRUE,
"Babyfood, Cereal",381.6,4.4,7.5,12.2,73.3,,,,TRUE,
"Babyfood, Cherry Cobbler",78.9,0.1,0.2,0.3,19.2,,,,TRUE,
"Babyfood, Corn & Swt Potatoes",68.48,0.28,1.8,1.26,15.23,,,,TRUE,
"Babyfood, Crackers",477.6,19.6,4,8.4,66.9,,,,TRUE,
"Babyfood, Crl",376.2,3.4,8.2,11.1,75.3,,,,TRUE,
"Babyfood, Dinner",60.47,1.47,1.2,2.36,9.45,,,,TRUE,
"Babyfood, Dssrt",83.36,0.4,1.4,0.2,19.74,,,,TRUE,
"Babyfood, Fruit",45.8,0.2,1.7,0.2,10.8,,,,TRUE,
"Babyfood, Fruit & Veg",64.38,0.22,1.4,0.3,15.3,,,,TRUE,
"Babyfood, Fruit Dssrt",79,0.2,1.1,0.3,19,,,,TRUE,
"Babyfood, Fruit Supreme Dssrt",72.52,0.2,2,0.5,17.18,,,,TRUE,
"Babyfood, Grn Bns",29.4,0.2,1.3,1.2,5.7,,,,TRUE,
"Babyfood, Juc",43.7,0.1,0.1,0.2,10.5,,,,TRUE,
"Babyfood, Juice",47.7,0.1,0.1,0,11.7,,,,TRUE,
"Babyfood, Macaroni&Chs",82.2,2.6,0.5,3.5,11.2,,,,TRUE,
"Babyfood, Meat",80.52,2.52,0,12.03,2.43,,,,TRUE,
"Babyfood, Mxd Fruit Juc W/Lofat Yogurt",75.52,0.8,0.4,2.4,14.68,,,,TRUE,
"Babyfood, Mxd Fruit Yogurt",75.32,0.8,0.4,0.8,16.23,,,,TRUE,
"Babyfood, Oatmeal Crl W/Fruit",402.05,7.05,7.8,10.5,74.15,,,,TRUE,
"Babyfood, Peaches",51,0.2,0.8,0.5,11.8,,,,TRUE,
"Babyfood, Pears",56.5,0.1,1.2,0.3,13.6,,,,TRUE,
"Babyfood, Peas",64,0.8,3.9,3.9,10.3,,,,TRUE,
"Babyfood, Peas&Brown Rice",64.06,0.5,2.5,3.4,11.49,,,,TRUE,
"Babyfood, Plums",57.9,0.3,1.3,1.1,12.7,,,,TRUE,
"Babyfood, Potatoes",51.82,0.1,0.9,1,11.73,,,,TRUE,
"Babyfood, Pretzels",390,2,2.3,10.8,82.2,,,,TRUE,
"Babyfood, Prunes",99.88,0.2,2.7,1,23.52,,,,TRUE,
"Babyfood, Ravioli",99.4,2.2,0.1,3.6,16.3,,,,TRUE,
"Babyfood, Rice&Appls",395.96,2.4,3,6.7,86.89,,,,TRUE,
"Babyfood, Teething Biscuits",393.12,5,1.9,9,78.03,,,,TRUE,
"Babyfood, Veg",36.9,0.1,1.9,1.3,7.7,,,,TRUE,
"Babyfood, Veg&Brown Rice",69.5,1.5,1.1,1.9,12.1,,,,TRUE,
"Babyfood, Vegetables",27.96,0.2,0.9,0.81,5.73,,,,TRUE,
"Bacon Bits, Meatless",475.5,25.9,10.2,32,28.6,,,,TRUE,
"Bacon, Meatless",333.68,29.52,2.6,10.68,6.32,,,,TRUE,
"Bagel, Pln",256.66,1.62,2.2,10.02,50.5,,,,TRUE,
"Bagels, Cinnamon-Raisin",275.3,1.7,2.3,9.8,55.2,,,,TRUE,
"Bagels, Egg",273.3,2.1,2.3,10.6,53,,,,TRUE,
"Bagels, Oat Bran",266.8,1.2,3.6,10.7,53.3,,,,TRUE,
"Bagels, Pln",270,1.6,2.3,10.5,53.4,,,,TRUE,
"Baking Choc, Masterfoods",516.95,26.15,6.7,4.44,65.96,,,,TRUE,
"Baking Choc, Masterfoods Usa",502.96,23.36,2.7,4.78,68.4,,,,TRUE,
"Baking Choc, Mexican",464.51,15.59,4,3.64,77.41,,,,TRUE,
"Baking Choc, Unswtnd",613.3,47.7,18.1,12.1,33.9,,,,TRUE,
"Balsam-Pear, Leafy Tips",40.57,0.69,0,5.3,3.29,,,,TRUE,
"Balsam-Pear, Pods",20.33,0.17,2.8,1,3.7,,,,TRUE,
Bamboo Shoots,33.9,0.3,2.2,2.6,5.2,,,,TRUE,
"Bamboo Shoots, Ckd",15.78,0.22,1,1.53,1.92,,,,TRUE,
"Bamboo Shoots, Cnd",23.36,0.4,1.4,1.72,3.22,,,,TRUE,
Banana Chips,545.2,33.6,7.7,2.3,58.4,,,,TRUE,
Bananas,98.69,0.33,2.6,1.09,22.84,,,,TRUE,
"Bananas, Dehyd",384.97,1.81,9.9,3.89,88.28,,,,TRUE,
"Banquet Gry & Salury Stk W/ Mshd Pot & Corn In Seasonsau, Frz",125.89,7.09,1.5,5.64,9.88,,,,TRUE,
"Banquet Hearty One Stk Din, Gry",138.14,8.66,2.1,5.13,9.92,,,,TRUE,
"Banquet Orig Fried Chk Thigh, W/Mash Pot & Corn In Season Sau",169.79,8.67,1.8,9.59,13.35,,,,TRUE,
"Banquet Slced Bf W/Gry, Mash Pot",87.68,2.96,1.6,8.8,6.46,,,,TRUE,
"Banquet Tky & Gry W/Dress, Mshd Pot & Pea In Season Sau",98.61,3.49,3.1,5.93,10.87,,,,TRUE,
"Barbecue Loaf, Pork",169.06,8.9,0,15.84,6.4,,,,TRUE,
Barley Malt Flr,370.88,1.84,7.1,10.28,78.3,,,,TRUE,
"Barley, Hulled",364.54,2.3,17.3,12.48,73.48,,,,TRUE,
"Barley, Pearled",360.96,1.16,15.6,9.91,77.72,,,,TRUE,
"Basil, Fresh",28.96,0.64,1.6,3.15,2.65,,,,TRUE,
"Bass, Freshwater",139.29,4.73,0,24.18,0,,,,TRUE,
"Bass, Frsh H2O",108.65,3.69,0,18.86,0,,,,TRUE,
"Bass, Striped",91.89,2.33,0,17.73,0,,,,TRUE,
Bean Beverage,34.4,0,0,2.8,5.8,,,,TRUE,
"Beans, Adzuki",335.85,0.53,12.7,19.87,62.9,,,,TRUE,
"Beans, Bkd",124.21,3.45,0,6.38,16.91,,,,TRUE,
"Beans, Black",348.62,1.42,15.2,21.6,62.36,,,,TRUE,
"Beans, Chili",96.6,1,4.2,5,16.9,,,,TRUE,
"Beans, Cranberry",343.39,1.23,24.7,23.03,60.05,,,,TRUE,
"Beans, Fava",108.77,0.73,0,7.92,17.63,,,,TRUE,
"Beans, French",349.86,2.02,25.2,18.81,64.11,,,,TRUE,
"Beans, Great Northern",347.18,1.14,20.2,21.86,62.37,,,,TRUE,
"Beans, Home Prepared",155.03,5.15,5.5,5.54,21.63,,,,TRUE,
"Beans, Kidney",37.7,0.5,0,4.2,4.1,,,,TRUE,
"Beans, Lima",72.21,0.29,3.6,4.07,13.33,,,,TRUE,
"Beans, Liq From Stwd Kidney Bns",47.2,3.2,0.1,1.8,2.8,,,,TRUE,
"Beans, Mung",14.7,0.06,0.8,1.4,2.14,,,,TRUE,
"Beans, Navy",83.1,0.7,0,6.15,13.05,,,,TRUE,
"Beans, Pink",350.77,1.13,12.7,20.96,64.19,,,,TRUE,
"Beans, Pinto",75.5,0.9,0,5.25,11.6,,,,TRUE,
"Beans, Shellie",33.51,0.19,3.4,1.76,6.19,,,,TRUE,
"Beans, Sml White",344.06,1.18,24.9,21.11,62.25,,,,TRUE,
"Beans, Snap",36.88,0.12,3.4,1.82,7.13,,,,TRUE,
"Beans, White",342.17,0.85,15.2,23.36,60.27,,,,TRUE,
"Beans, Winged",154.8,5.84,0,10.62,14.94,,,,TRUE,
"Beans, Yel",354.2,2.6,25.1,22,60.7,,,,TRUE,
"Bear, Black",155.1,8.3,0,20.1,0,,,,TRUE,
"Bear, Polar",130.3,3.1,0,25.6,0,,,,TRUE,
"Beechnuts, Dried",608.8,50,0,6.2,33.5,,,,TRUE,
"Beef Broth&Tomato Juc, Cnd",37.3,0.1,0.1,0.6,8.5,,,,TRUE,
"Beef Jerky, Chopd&Formed",407.2,25.6,1.8,33.2,11,,,,TRUE,
"Beef Sausage, Frsh",326.06,27.98,0,18.21,0.35,,,,TRUE,
"Beef Sausage, Pre-Cooked",400.25,37.57,0,15.5,0.03,,,,TRUE,
"Beef, Bologna",310.4,28.4,0,11.7,2,,,,TRUE,
"Beef, Brisket",149.21,7.37,0,20.72,0,,,,TRUE,
"Beef, Brkfst Strips",402,38.8,0,12.5,0.7,,,,TRUE,
"Beef, Bttm Sirloin",148.22,7.06,0,21.17,0,,,,TRUE,
"Beef, Carcass",285.73,24.05,0,17.32,0,,,,TRUE,
"Beef, Chck",154.4,5.72,0,25.73,0,,,,TRUE,
"Beef, Chopd Bf",127.98,4.42,0,20.19,1.86,,,,TRUE,
"Beef, Chuck",259.71,21.31,0,16.98,0,,,,TRUE,
"Beef, Comp Of Rtl Cuts",237.99,18.19,0,18.57,0,,,,TRUE,
"Beef, Corned Bf",193.38,14.9,0,14.68,0.14,,,,TRUE,
"Beef, Corned Bf Hash",164.16,10.24,1.1,8.73,9.27,,,,TRUE,
"Beef, Dried",152.9,1.94,0,31.1,2.76,,,,TRUE,
"Beef, Flank",159.49,8.29,0,21.22,0,,,,TRUE,
"Beef, Grass-Fed",192.25,12.73,0,19.42,0,,,,TRUE,
"Beef, Ground",327.4,30,0,14.35,0,,,,TRUE,
"Beef, Ground Bf Calculator - User Selects Lean/Fat Percentage",0,0,0,0,0,,,,TRUE,
"Beef, Loin",275.79,20.15,0,23.61,0,,,,TRUE,
"Beef, Luncheon Meat",105.7,3.3,0,19,0,,,,TRUE,
"Beef, Pastrami",139.58,5.82,0,21.8,0,,,,TRUE,
"Beef, Plate",197.18,10.06,0,26.66,0,,,,TRUE,
"Beef, Rib",383.67,36.23,0,14.4,0,,,,TRUE,
"Beef, Rib Eye",226.19,12.71,0,27.95,0,,,,TRUE,
"Beef, Ribeye",241.74,14.74,0,27.27,0,,,,TRUE,
"Beef, Rnd",189.52,11.92,0,20.56,0,,,,TRUE,
"Beef, Rtl Cuts",670.85,70.89,0,8.21,0,,,,TRUE,
"Beef, Sausage",308.31,26.91,0,14.11,2.42,,,,TRUE,
"Beef, Shrt Loin",252.64,20.08,0,17.98,0,,,,TRUE,
"Beef, Sirloin",256.5,15.18,0,29.97,0,,,,TRUE,
"Beef, Sndwch Steaks",309,27,0,16.5,0,,,,TRUE,
"Beef, Tenderloin",240.2,17.88,0,19.82,0,,,,TRUE,
"Beef, Thin-Sliced Bf",169.84,3.84,0,28.11,5.71,,,,TRUE,
"Beef, Top Sirloin",208.2,14.28,0,19.92,0,,,,TRUE,
"Beef, Var Meats & By-Products",852,94,0,1.5,0,,,,TRUE,
"Beef, Var Meats&By-Products",140.34,10.3,0,10.86,1.05,,,,TRUE,
"Beerwurst, Beer Salami",234.4,18.8,0,14.24,2.06,,,,TRUE,
Beet Greens,27.29,0.13,3.7,2.2,4.33,,,,TRUE,
"Beet Grns, Ckd",33.92,0.2,2.9,2.57,5.46,,,,TRUE,
Beets,46.21,0.17,2.8,1.61,9.56,,,,TRUE,
"Beets, Ckd",48.18,0.18,2,1.68,9.96,,,,TRUE,
"Beets, Cnd",69.04,0.08,2.6,0.8,16.28,,,,TRUE,
"Beets, Harvard",76.62,0.06,2.5,0.84,18.18,,,,TRUE,
"Beverage, Inst Brkfst Pdr",357,1.4,0.4,19.9,66.2,,,,TRUE,
"Beverage, Milkshake Mix",329,2.6,1.6,23.5,52.9,,,,TRUE,
"Bf, Bttm Srloin",203.83,11.07,0,26.05,0,,,,TRUE,
"Bf, Chk",139.28,6.36,0,20.51,0,,,,TRUE,
"Bf, Chuck",160.5,9.22,0,19.38,0,,,,TRUE,
"Bf, Loin",182.06,8.34,0,26.75,0,,,,TRUE,
"Bf, Rib",257.16,16.76,0,26.58,0,,,,TRUE,
"Bf, Rnd",144.27,6.59,0,21.24,0,,,,TRUE,
"Biscuit, Pln Or Butmlk",322.39,13.63,0.7,6.66,43.27,,,,TRUE,
"Biscuits, Mxd Grain",264.4,5.6,0,6.1,47.4,,,,TRUE,
"Biscuits, Pln Or Bttrmlk",367.3,16.5,1.3,6.2,48.5,,,,TRUE,
"Bison, Ground",146.01,7.21,0,20.23,0.05,,,,TRUE,
Blackberries,48.41,0.49,5.3,1.39,9.61,,,,TRUE,
"Blackberries, Cnd",98.9,0.14,3.4,1.31,23.1,,,,TRUE,
"Blackberries, Frz",71.27,0.43,5,1.18,15.67,,,,TRUE,
"Blackberries, Wild",52.35,1.07,3.2,0.84,9.84,,,,TRUE,
"Blackberry Juc, Cnd",37.8,0.6,0.1,0.3,7.8,,,,TRUE,
Blood Sausage,374.06,34.5,0,14.6,1.29,,,,TRUE,
Blueberries,63.89,0.33,2.4,0.74,14.49,,,,TRUE,
"Blueberries, Cnd",93.81,0.33,1.6,0.65,22.06,,,,TRUE,
"Blueberries, Frz",56.12,0.64,2.7,0.42,12.17,,,,TRUE,
"Blueberries, Wild",60.96,0.76,2.6,1.22,12.31,,,,TRUE,
Bluefish,118.32,4.24,0,20.04,0,,,,TRUE,
"Bluefish, Dry Heat",151.72,5.44,0,25.69,0,,,,TRUE,
Bockwurst Pork Veal Raw,300.75,25.87,1,14.03,2.95,,,,TRUE,
Bologna Turkey,208.85,16.05,0.5,11.42,4.68,,,,TRUE,
"Bologna, Beef",201.2,14.8,0,11.8,5.2,,,,TRUE,
"Bologna, Bf",310.71,28.19,0,10.27,3.98,,,,TRUE,
"Bologna, Bf & Pork",304.07,24.59,0,15.2,5.49,,,,TRUE,
"Bologna, Bf&Pork",230.1,19.3,0,11.5,2.6,,,,TRUE,
"Bologna, Chick",297.74,26.18,0,9.88,5.65,,,,TRUE,
"Bologna, Pork",242.95,19.87,0,15.3,0.73,,,,TRUE,
Borage,25.74,0.7,0,1.8,3.06,,,,TRUE,
"Borage, Ckd",29.85,0.81,0,2.09,3.55,,,,TRUE,
"Boysenberries, Cnd",94.28,0.12,2.6,0.99,22.31,,,,TRUE,
"Boysenberries, Frz",55.5,0.26,5.3,1.1,12.19,,,,TRUE,
Bratwurst Bf & Pork Smoked,293.86,26.34,0,12.2,2,,,,TRUE,
Bratwurst Pork Bf & Turkey Lite Smoked,186.05,13.53,0,14.45,1.62,,,,TRUE,
Bratwurst Veal Ckd,341.26,31.7,0,13.99,0,,,,TRUE,
"Bratwurst, Chick",170.91,10.35,0,19.44,0,,,,TRUE,
"Bratwurst, Pork",328.9,29.18,0,13.72,2.85,,,,TRUE,
"Braunschweiger, Pork",326.9,28.5,0,14.5,3.1,,,,TRUE,
"Brazilnuts, Dried",704.23,66.43,7.5,14.32,12.27,,,,TRUE,
"Bread Crumbs, Dry",389.02,5.3,4.5,13.35,71.98,,,,TRUE,
"Bread Sticks, Plain",407.1,9.5,3,12,68.4,,,,TRUE,
"Bread Stuffing, Bread",379.4,3.4,3.2,11,76.2,,,,TRUE,
"Bread Stuffing, Cornbread",384.6,4.2,14.3,10,76.7,,,,TRUE,
"Bread, Banana",330.1,10.5,1.1,4.3,54.6,,,,TRUE,
"Bread, Boston Brown",207.5,1.5,4.7,5.2,43.3,,,,TRUE,
"Bread, Cornbread",311.2,10,2.4,7.2,48.1,,,,TRUE,
"Bread, Cracked-Wheat",267.9,3.9,5.5,8.7,49.5,,,,TRUE,
"Bread, Egg",283.2,6,2.3,9.5,47.8,,,,TRUE,
"Bread, French Or Vienna",289.23,1.83,2.4,11.75,56.44,,,,TRUE,
"Bread, Irish Soda",295.4,5,2.6,6.6,56,,,,TRUE,
"Bread, Italian",266.7,3.5,2.7,8.8,50,,,,TRUE,
"Bread, Kneel Down",194.93,2.21,0,4.29,39.47,,,,TRUE,
"Bread, Multi-Grain",264.87,4.23,7.4,13.36,43.34,,,,TRUE,
"Bread, Oat Bran",240.4,4.4,4.5,10.4,39.8,,,,TRUE,
"Bread, Oatmeal",267.2,4.4,4,8.4,48.5,,,,TRUE,
"Bread, Pita",270,1.2,2.2,9.1,55.7,,,,TRUE,
"Bread, Prot",243.4,2.2,3,12.1,43.8,,,,TRUE,
"Bread, Pumpernickel",252.7,3.1,6.5,8.7,47.5,,,,TRUE,
"Bread, Raisin",280.4,4.4,4.3,7.9,52.3,,,,TRUE,
"Bread, Red-Cal",235.1,3.5,0,7.6,43.3,,,,TRUE,
"Bread, Reduced-Calorie",224.5,2.9,12,9.1,40.5,,,,TRUE,
"Bread, Rice Bran",251,4.6,4.9,8.9,43.5,,,,TRUE,
"Bread, Rye",256.9,3.3,5.8,8.5,48.3,,,,TRUE,
"Bread, Wheat",266.44,3.64,3.6,10.91,47.51,,,,TRUE,
"Bread, Wheat Bran",257,3.4,4,8.8,47.8,,,,TRUE,
"Bread, Wheat Germ",257.7,2.9,2.1,9.6,48.3,,,,TRUE,
"Bread, White",289.6,4,2.5,9,54.4,,,,TRUE,
"Bread, Whole-Wheat",247.11,3.35,6.8,12.95,41.29,,,,TRUE,
Breadfruit,114.83,0.23,4.9,1.07,27.12,,,,TRUE,
Breadfruit Seeds,196.87,5.59,5.2,7.4,29.24,,,,TRUE,
Breadnuttree Seeds,217.91,0.99,0,5.97,46.28,,,,TRUE,
"Breadnuttree Seeds, Dried",367.16,1.68,14.9,8.62,79.39,,,,TRUE,
"Breakfast Bar, Corn Flake Crust W/Fruit",376.7,7.5,2.1,4.4,72.9,,,,TRUE,
"Breakfast Items, Biscuit W/Egg&Sausage",315.65,20.77,0.2,11.13,21.05,,,,TRUE,
"Breakfast Tart, Lofat",377.07,5.99,1.5,3.99,76.8,,,,TRUE,
"Breakfast Type Drk, Orange Flavor",3.76,0,0,0.04,0.9,,,,TRUE,
"Broadbeans, Immat Seeds",74.6,0.6,4.2,5.6,11.7,,,,TRUE,
"Broadbeans, Mature Seeds",351.41,1.53,25,26.12,58.29,,,,TRUE,
Broccoli,41.17,0.37,2.6,2.82,6.64,,,,TRUE,
Broccoli Raab,28.49,0.49,2.7,3.17,2.85,,,,TRUE,
"Broccoli Raab, Ckd",32.48,0.52,2.8,3.83,3.12,,,,TRUE,
"Broccoli, Chinese",26.28,0.72,2.5,1.14,3.81,,,,TRUE,
"Broccoli, Ckd",41.93,0.41,3.3,2.38,7.18,,,,TRUE,
"Broccoli, Flower Clusters",36.03,0.35,0,2.98,5.24,,,,TRUE,
"Broccoli, Frz",32.97,0.29,3,2.81,4.78,,,,TRUE,
"Broccoli, Leaves",36.03,0.35,0,2.98,5.24,,,,TRUE,
"Broccoli, Stalks",36.03,0.35,0,2.98,5.24,,,,TRUE,
"Brotwurst, Pork",319.12,27.8,0,14.3,2.93,,,,TRUE,
Brussels Sprouts,52.02,0.3,3.8,3.38,8.95,,,,TRUE,
"Brussels Sprouts, Ckd",43.1,0.5,2.6,2.55,7.1,,,,TRUE,
"Brussels Sprouts, Frz",50.25,0.41,3.8,3.78,7.86,,,,TRUE,
Buckwheat,369.6,3.4,10,13.25,71.5,,,,TRUE,
"Buckwheat Flr, Whole-Groat",360.74,3.1,10,12.62,70.59,,,,TRUE,
"Buckwheat Groats, Rstd",371.11,2.71,10.3,11.73,74.95,,,,TRUE,
"Buffalo, Free Range",97.46,1.3,0,21.44,0,,,,TRUE,
Bulgur,88.8,0.24,4.5,3.08,18.58,,,,TRUE,
"Bulgur, Dry",364.61,1.33,18.3,12.29,75.87,,,,TRUE,
Burbot,84.53,0.81,0,19.31,0,,,,TRUE,
"Burbot, Dry Heat",108.4,1.04,0,24.76,0,,,,TRUE,
Burdock Root,76.83,0.15,3.3,1.53,17.34,,,,TRUE,
"Burdock Root, Ckd",94.22,0.14,1.8,2.09,21.15,,,,TRUE,
"Butcher Boy Meats, Inc.",235.97,18.17,0.2,13.45,4.66,,,,TRUE,
"Butter Oil, Anhydrous",896.44,99.48,0,0.28,0,,,,TRUE,
"Butter Replcmnt, Wo/Fat",373,1,0,2,89,,,,TRUE,
"Butter, Lt",509.1,55.1,0,3.3,0,,,,TRUE,
"Butter, Whipped",733.63,81.11,0,0.85,0.06,,,,TRUE,
"Butter, With Salt",733.63,81.11,0,0.85,0.06,,,,TRUE,
"Butter, Without Salt",733.63,81.11,0,0.85,0.06,,,,TRUE,
"Butter-Margarine Blend, Stk",732.3,80.7,0,0.9,0.6,,,,TRUE,
Butterbur,16.36,0.04,0,0.39,3.61,,,,TRUE,
"Butterbur, Canned",3.13,0.13,0,0.11,0.38,,,,TRUE,
"Butterbur, Ckd",9.74,0.02,0,0.23,2.16,,,,TRUE,
Butterfish,141.3,8.02,0,17.28,0,,,,TRUE,
"Butterfish, Ckd",181.12,10.28,0,22.15,0,,,,TRUE,
"Butternuts, Dried",660.62,56.98,4.7,24.9,12.05,,,,TRUE,
Cabbage,29.22,0.1,2.5,1.28,5.8,,,,TRUE,
"Cabbage, Chinese",16.52,0.2,1,1.5,2.18,,,,TRUE,
"Cabbage, Ckd",27.66,0.06,1.9,1.27,5.51,,,,TRUE,
